GT_string	Paternal	Maternal	Missing_ind_num	Missing_ind	Chromosome_type
NA_0_0_0_0_0_0	N	N	1	A	autosome
NA_0_0_1_0_0_0	N	N	1	A	autosome
NA_0_0_1_0_1_0	N	C	1	A	autosome
NA_0_0_1_0_1_1	N	D	1	A	autosome
NA_0_0_2_0_1_0	N	C	1	A	autosome
NA_0_0_2_0_1_1	N	D	1	A	autosome
NA_0_1_0_0_0_0	N	N	1	A	autosome
NA_0_1_0_0_1_0	N	D	1	A	autosome
NA_0_1_0_0_1_1	N	C	1	A	autosome
NA_0_1_1_0_0_0	N	N	1	A	autosome
NA_0_1_1_0_1_0	N	N	1	A	autosome
NA_0_1_1_0_1_1	N	N	1	A	autosome
NA_0_1_1_0_2_1	N	N	1	A	autosome
NA_0_1_2_0_1_0	N	C	1	A	autosome
NA_0_1_2_0_1_1	N	D	1	A	autosome
NA_0_1_2_0_2_1	N	N	1	A	autosome
NA_0_2_0_0_1_0	N	D	1	A	autosome
NA_0_2_0_0_1_1	N	C	1	A	autosome
NA_0_2_1_0_1_0	N	D	1	A	autosome
NA_0_2_1_0_1_1	N	C	1	A	autosome
NA_0_2_1_0_2_1	N	N	1	A	autosome
NA_0_2_2_0_2_1	N	N	1	A	autosome
NA_1_0_0_0_0_0	N	N	1	A	autosome
NA_1_0_1_0_0_0	N	N	1	A	autosome
NA_1_0_1_0_1_0	N	C	1	A	autosome
NA_1_0_1_0_1_1	N	D	1	A	autosome
NA_1_0_1_1_1_1	N	N	1	A	autosome
NA_1_0_2_0_1_0	N	C	1	A	autosome
NA_1_0_2_0_1_1	N	D	1	A	autosome
NA_1_0_2_1_1_1	N	N	1	A	autosome
NA_1_1_0_0_0_0	N	N	1	A	autosome
NA_1_1_0_0_1_0	N	D	1	A	autosome
NA_1_1_0_0_1_1	N	C	1	A	autosome
NA_1_1_0_1_1_1	N	N	1	A	autosome
NA_1_1_1_0_0_0	N	N	1	A	autosome
NA_1_1_1_0_1_0	N	N	1	A	autosome
NA_1_1_1_0_1_1	N	N	1	A	autosome
NA_1_1_1_0_2_1	N	N	1	A	autosome
NA_1_1_1_1_1_1	N	N	1	A	autosome
NA_1_1_2_0_1_0	N	C	1	A	autosome
NA_1_1_2_0_1_1	N	D	1	A	autosome
NA_1_1_2_0_2_1	N	N	1	A	autosome
NA_1_1_2_1_1_1	N	N	1	A	autosome
NA_1_2_0_0_1_0	N	D	1	A	autosome
NA_1_2_0_0_1_1	N	C	1	A	autosome
NA_1_2_0_1_1_1	N	N	1	A	autosome
NA_1_2_1_0_1_0	N	D	1	A	autosome
NA_1_2_1_0_1_1	N	C	1	A	autosome
NA_1_2_1_0_2_1	N	N	1	A	autosome
NA_1_2_1_1_1_1	N	N	1	A	autosome
NA_1_2_2_0_2_1	N	N	1	A	autosome
NA_2_0_0_1_0_0	A	N	1	A	autosome
NA_2_0_0_1_0_1	B	N	1	A	autosome
NA_2_0_1_1_0_0	A	N	1	A	autosome
NA_2_0_1_1_0_1	B	N	1	A	autosome
NA_2_0_1_1_1_0	A	C	1	A	autosome
NA_2_0_1_1_1_1	N	N	1	A	autosome
NA_2_0_1_1_1_2	B	D	1	A	autosome
NA_2_0_2_1_1_0	A	C	1	A	autosome
