GT_string	Paternal	Maternal	A	B	C	D	AB	CD	off	Chromosome_type
0_0_0_0_0_0_0	N	N	0	0	0	0	0	0	0	autosome
0_0_0_1_0_0_0	N	N	0	0	0	1	0	0	0	autosome
0_0_0_1_0_1_0	N	C	0	0	0	1	0	1	0	autosome
0_0_0_1_0_1_1	N	D	0	0	0	1	0	1	1	autosome
0_0_0_2_0_1_0	N	C	0	0	0	2	0	1	0	autosome
0_0_0_2_0_1_1	N	D	0	0	0	2	0	1	1	autosome
0_0_1_0_0_0_0	N	N	0	0	1	0	0	0	0	autosome
0_0_1_0_0_1_0	N	D	0	0	1	0	0	1	0	autosome
0_0_1_0_0_1_1	N	C	0	0	1	0	0	1	1	autosome
0_0_1_1_0_0_0	N	N	0	0	1	1	0	0	0	autosome
0_0_1_1_0_1_0	N	N	0	0	1	1	0	1	0	autosome
0_0_1_1_0_1_1	N	N	0	0	1	1	0	1	1	autosome
0_0_1_1_0_2_1	N	N	0	0	1	1	0	2	1	autosome
0_0_1_2_0_1_0	N	C	0	0	1	2	0	1	0	autosome
0_0_1_2_0_1_1	N	D	0	0	1	2	0	1	1	autosome
0_0_1_2_0_2_1	N	N	0	0	1	2	0	2	1	autosome
0_0_2_0_0_1_0	N	D	0	0	2	0	0	1	0	autosome
0_0_2_0_0_1_1	N	C	0	0	2	0	0	1	1	autosome
0_0_2_1_0_1_0	N	D	0	0	2	1	0	1	0	autosome
0_0_2_1_0_1_1	N	C	0	0	2	1	0	1	1	autosome
0_0_2_1_0_2_1	N	N	0	0	2	1	0	2	1	autosome
0_0_2_2_0_2_1	N	N	0	0	2	2	0	2	1	autosome
0_1_0_0_0_0_0	N	N	0	1	0	0	0	0	0	autosome
0_1_0_0_1_0_0	A	N	0	1	0	0	1	0	0	autosome
0_1_0_0_1_0_1	B	N	0	1	0	0	1	0	1	autosome
0_1_0_1_0_0_0	N	N	0	1	0	1	0	0	0	autosome
0_1_0_1_0_1_0	N	C	0	1	0	1	0	1	0	autosome
0_1_0_1_0_1_1	N	D	0	1	0	1	0	1	1	autosome
0_1_0_1_1_0_0	A	N	0	1	0	1	1	0	0	autosome
0_1_0_1_1_0_1	B	N	0	1	0	1	1	0	1	autosome
0_1_0_1_1_1_0	A	C	0	1	0	1	1	1	0	autosome
0_1_0_1_1_1_1	N	N	0	1	0	1	1	1	1	autosome
0_1_0_1_1_1_2	B	D	0	1	0	1	1	1	2	autosome
0_1_0_2_0_1_0	N	C	0	1	0	2	0	1	0	autosome
0_1_0_2_0_1_1	N	D	0	1	0	2	0	1	1	autosome
0_1_0_2_1_1_0	A	C	0	1	0	2	1	1	0	autosome
0_1_0_2_1_1_1	N	N	0	1	0	2	1	1	1	autosome
0_1_0_2_1_1_2	B	D	0	1	0	2	1	1	2	autosome
0_1_1_0_0_0_0	N	N	0	1	1	0	0	0	0	autosome
0_1_1_0_0_1_0	N	D	0	1	1	0	0	1	0	autosome
0_1_1_0_0_1_1	N	C	0	1	1	0	0	1	1	autosome
0_1_1_0_1_0_0	A	N	0	1	1	0	1	0	0	autosome
0_1_1_0_1_0_1	B	N	0	1	1	0	1	0	1	autosome
0_1_1_0_1_1_0	A	D	0	1	1	0	1	1	0	autosome
0_1_1_0_1_1_1	N	N	0	1	1	0	1	1	1	autosome
0_1_1_0_1_1_2	B	C	0	1	1	0	1	1	2	autosome
0_1_1_1_0_0_0	N	N	0	1	1	1	0	0	0	autosome
0_1_1_1_0_1_0	N	N	0	1	1	1	0	1	0	autosome
0_1_1_1_0_1_1	N	N	0	1	1	1	0	1	1	autosome
0_1_1_1_0_2_1	N	N	0	1	1	1	0	2	1	autosome
0_1_1_1_1_0_0	A	N	0	1	1	1	1	0	0	autosome
0_1_1_1_1_0_1	B	N	0	1	1	1	1	0	1	autosome
0_1_1_1_1_1_0	A	N	0	1	1	1	1	1	0	autosome
0_1_1_1_1_1_1	N	N	0	1	1	1	1	1	1	autosome
0_1_1_1_1_1_2	B	N	0	1	1	1	1	1	2	autosome
0_1_1_1_1_2_1	A	N	0	1	1	1	1	2	1	autosome
0_1_1_1_1_2_2	B	N	0	1	1	1	1	2	2	autosome
0_1_1_2_0_1_0	N	C	0	1	1	2	0	1	0	autosome
0_1_1_2_0_1_1	N	D	0	1	1	2	0	1	1	autosome
0_1_1_2_0_2_1	N	N	0	1	1	2	0	2	1	autosome
0_1_1_2_1_1_0	A	C	0	1	1	2	1	1	0	autosome
0_1_1_2_1_1_1	N	N	0	1	1	2	1	1	1	autosome
0_1_1_2_1_1_2	B	D	0	1	1	2	1	1	2	autosome
0_1_1_2_1_2_1	A	N	0	1	1	2	1	2	1	autosome
0_1_1_2_1_2_2	B	N	0	1	1	2	1	2	2	autosome
0_1_2_0_0_1_0	N	D	0	1	2	0	0	1	0	autosome
0_1_2_0_0_1_1	N	C	0	1	2	0	0	1	1	autosome
0_1_2_0_1_1_0	A	D	0	1	2	0	1	1	0	autosome
0_1_2_0_1_1_1	N	N	0	1	2	0	1	1	1	autosome
