scaffold,size,CHR,order,orientation
Contig108,10741888,1,6,-
Contig97,4239502,1,5,+
Contig380,1340166,1,4,+
Contig180,21448883,1,3,-
Contig28,34432312,1,2,-
Contig4,47373794,1,1,+
Contig260,3771978,28,3,+
Contig66,1181588,28,1,-
Contig127,1562677,28,2,-
